name,amenity,shop,longitude,latitude,market_type
MY shop,,supermarket,28.9269634,40.9958366,local
Şeymar,,supermarket,28.9272428,40.9960754,local
Gönen Gıda,,supermarket,28.932084,40.9996303,local
mo-su 08:00-21:30,,supermarket,28.9310182,40.9990984,local
mo-su 09:00-21:00,,supermarket,28.9340329,41.0045959,local
Aslan Market,,supermarket,28.9367965,41.002532,local
su-sa 7:00-23:00,,supermarket,28.9366969,41.002134,local
Doğanlar,,supermarket,28.9348888,41.0015972,local
Fuar-1 gida ve tekel,,supermarket,28.9356747,41.0019011,local
Bağlar market,,supermarket,28.9358543,41.0019555,local
Sağlıklı Gida,,supermarket,28.9279326,40.9966303,local
Altunışık kuruyemiş,,supermarket,28.9343097,41.0012017,local
Şölen Kuruyemiş ve Tekel,,supermarket,28.9311051,40.9995217,local
mo-su 08:00-20:00,,supermarket,28.9308664,40.9988814,local
mo-su 9:00-20:00,,supermarket,28.930106,40.9981096,local
UCZ Komşu Market,,supermarket,28.9297696,41.0007416,local
Kim Market,,supermarket,28.9456048,41.0059405,local
Yıldız toptan temizlik ürünleri,,supermarket,28.9458704,41.0062711,local
Kim Market,,supermarket,28.9488766,41.0092254,local
Kamer Gıda,,supermarket,28.9384872,41.0247992,local
Mardin Kismet Market,,supermarket,28.9547587,41.0175481,local
Show,,supermarket,28.9431193,41.0213227,local
Lutuf Supermarket,,supermarket,28.9478159,41.0263553,local
Altun Supermarket,,supermarket,28.9336485,41.0124667,local
Ortaklar Süpermarket,,supermarket,28.9313793,41.01139,local
Etik,,supermarket,28.9287508,41.0142255,local
Suriye Giza,,supermarket,28.9279334,41.0041892,local
Dörtler,,supermarket,28.9279803,41.0040348,local
Özpınar,,supermarket,28.9266963,41.0041252,local
Bizim Market,,supermarket,28.9268576,41.0054664,local
Sefa Gida,,supermarket,28.9273565,41.0047711,local
Aksu Gida Ve Şarküteri,,supermarket,28.9267079,41.0050648,local
Sütçüler,,supermarket,28.9263531,41.0053209,local
Tugay Market,,supermarket,28.9232487,41.0060543,local
Marketimm,,supermarket,28.9290871,41.0069892,local
Kanarya Kuruyemiş,,supermarket,28.9247629,41.0066978,local
Mişmiş Malatya Pazarı,,supermarket,28.930679,41.005404,local
Akyol Gida Pazarı,,supermarket,28.9303465,41.0055614,local
Mert Gıda,,supermarket,28.9295464,41.0042784,local
B13 Ucuzluk Marketleri,,supermarket,28.9282817,41.004243,local
Ertaş Supermarket,,supermarket,28.9534871,41.0200493,local
Milenyum,,supermarket,28.9781653,41.0127617,local
Greens,,supermarket,28.9754922,41.010299,local
Nasip Ticaret,,supermarket,28.9641666,41.0194933,local
Tadım büfe,,supermarket,28.9642954,41.0194124,local
Demircan gıda,,supermarket,28.9642312,41.0172442,local
Enes büfe,,supermarket,28.974819,41.0138696,local
Yavuzlar,,supermarket,28.9730056,41.0144595,local
Çavuş büfe,,supermarket,28.975012,41.0125094,local
Öz vefa,,supermarket,28.959151,41.0186406,local
Öz vefa,,supermarket,28.9588793,41.0169647,local
Sürgüçü gıda,,supermarket,28.9606614,41.0193766,local
Mevlânâ büfe,,supermarket,28.9603017,41.0193121,local
Bayramoğlu gıda,,supermarket,28.9606146,41.0201646,local
Oskar,,supermarket,28.9610338,41.0187324,local
Yilmaz,,supermarket,28.9615488,41.0202623,local
Altay market,,supermarket,28.9612631,41.0195004,local
Nur gida pazari,,supermarket,28.9624956,41.0196998,local
Yeni Turcel Market,,supermarket,28.9416254,41.0077427,local
Suade,,supermarket,28.9337795,41.0045482,local
Telci bufe,,supermarket,28.9364541,41.0054029,local
Unsel,,supermarket,28.9388144,41.006083,local
Market,,supermarket,28.9429986,41.0075241,local
Kocoglu,,supermarket,28.9402735,41.0081557,local
Guven market,,supermarket,28.9361107,41.0055324,local
Aslan market,,supermarket,28.9367759,41.0025124,local
İmamoğlu Turşuları,,supermarket,28.9299202,41.0019187,local
Ender Market,,supermarket,28.9301131,41.0024818,local
Emniyet Büfe,,supermarket,28.9300536,41.0030073,local
Yusuf Tekel Shop,,supermarket,28.9266251,41.0008628,local
Hiper Marketleri,,supermarket,28.9263916,41.0001437,local
Evinç Gıda Pazarı,,supermarket,28.9259321,41.0005938,local
Evinmar Market,,supermarket,28.926597,41.0019972,local
Ekonim,,supermarket,28.9269061,41.0030561,local
Sümbül Gıda Peynircilik,,supermarket,28.927283,41.003481,local
Kardeşler Kuruyemiş,,supermarket,28.9267831,41.0030159,local
Malatya Pazarı,,supermarket,28.9268938,41.002931,local
Hasköy Gıda,,supermarket,28.9268278,41.0022948,local
Supermarket,,supermarket,28.9243919,41.0016209,local
Gündoğan 2 Halk pazarı,,supermarket,28.9263408,41.003566,local
UCZ,,supermarket,28.9387914,41.0324088,local
Topaloğlu Hipermarket,,supermarket,28.9407606,41.0312217,local
UCZ,,supermarket,28.9413549,41.0347343,local
Şimşek Tekel,,supermarket,28.9324001,41.0041387,local
Kaya Gıda Ve Şarküteri,,supermarket,28.9320413,41.0040107,local
Gülüm Kuruyemiş,,supermarket,28.9312202,41.0037532,local
Dörtler Gıda,,supermarket,28.9269439,41.0037647,local
Güven Market,,supermarket,28.9266965,41.003732,local
UCZ Market,,supermarket,28.9252366,41.0038646,local
Paşa Turşuları,,supermarket,28.9311166,41.0065037,local
İtimat Fabrika Satış Mağzası,,supermarket,28.9310006,41.0046858,local
Tuborg,,supermarket,28.9327629,41.0066684,local
Çevre Market,,supermarket,28.9327347,41.0061427,local
Çalıklar Gıda,,supermarket,28.9326393,41.0055569,local
Cem Gida ve Şarkuteri,,supermarket,28.9323972,41.0041755,local
Kısmet Arslan,,supermarket,28.9566262,41.0093868,local
Laleli İş Merkezi,,supermarket,28.955702,41.0093989,local
Kısmet Arslan Kuruyemiş,,supermarket,28.9537146,41.0078045,local
İstanbul Büfe,,supermarket,28.9538334,41.0075213,local
Akkuş gida,,supermarket,28.952132,41.0185437,local
kale,,supermarket,28.9516542,41.018251,local
Serhat Süpermarket,,supermarket,28.9247538,41.0152886,local
Malatya Arapgir Pazari,,supermarket,28.9237152,41.0134567,local
Evrankaya Market,,supermarket,28.9251967,41.0161912,local
Market & şarküteri,,supermarket,28.9508159,41.0171833,local
Temal Market Show,,supermarket,28.9248827,41.0068458,local
Bozlu market,,supermarket,28.9487458,41.0233263,local
Gülüm,,supermarket,28.9488441,41.0229474,local
Kim,,supermarket,28.9490525,41.0217226,local
Selam,,supermarket,28.9491235,41.0214708,local
Rammar,,supermarket,28.9484889,41.0239096,local
Özbirlik,,supermarket,28.9511633,41.0234354,local
Happy center,,supermarket,28.9510989,41.0232735,unknown
Erzurum Gıda,,supermarket,28.9486734,41.0208014,local
Malata,,supermarket,28.9490792,41.0207109,local
Elşehba,,supermarket,28.9472245,41.0227186,local
Market güven,,supermarket,28.9466419,41.0225313,local
Damla gida,,supermarket,28.9480027,41.0207008,local
Bereket,,supermarket,28.947813,41.0214633,local
Adıyaman gida,,supermarket,28.9619901,41.0149151,local
Süleymaniye gida,,supermarket,28.9623256,41.0151667,local
Demircan gida,,supermarket,28.964276,41.0172084,local
Abuzer bey market,,supermarket,28.9335751,41.0241194,local
Orange,,supermarket,28.9337481,41.0267536,local
Girit gida,,supermarket,28.93772,41.026688,local
Köşem gida,,supermarket,28.9714373,41.0062199,local
Show Market,,supermarket,28.9717419,41.0075165,local
Supermarket al hamewi,,supermarket,28.9417055,41.0108792,local
Sevenler Super Market,,supermarket,28.9475256,41.0088958,local
ALTUN,,supermarket,28.9382758,41.0101755,local
Kim,,supermarket,28.9426936,41.0108906,local
Durok,,supermarket,28.9407403,41.0100347,local
Doğuş supermarket,,supermarket,28.9409974,41.0104579,local
Kismet market,,supermarket,28.9401044,41.0093598,local
Alkan supermarket,,supermarket,28.9443279,41.0308013,local
Elif super market,,supermarket,28.9417315,41.0273947,local
Kuzey Supermaermet,,supermarket,28.9430594,41.0294805,local
Çum supermarket,,supermarket,28.9390945,41.0296044,local
GROSS,,supermarket,28.9376174,41.0307158,local
Gökmen,,supermarket,28.9326613,41.000576,local
Ebubekir Market,,supermarket,28.9314435,40.9989729,local
Salman Pasajı,,supermarket,28.9313878,41.0070925,local
Rami Karabağ,,supermarket,28.9315024,41.0069314,local
Tokgöz Hipermarket,,supermarket,28.9339503,41.0068877,local
Topaloğlu Hiper Marketleri,,supermarket,28.9311239,41.010512,local
Demmar Hiper Market,,supermarket,28.9302037,41.0085344,local
Güneydoğu Grup,,supermarket,28.9287253,41.0075675,local
Soylu Avm,,supermarket,28.9309835,41.0085435,unknown
Alkan Süpermarket,,supermarket,28.9335391,41.0096171,local
İtimat Fabrİka Satış Mağazası,,supermarket,28.9378465,41.0099478,local
Öz Erciyes Market,,supermarket,28.9546156,41.0083795,local
Gültekin Gıda,,supermarket,28.6542325,41.0143868,local
А101,,supermarket,29.0016678,41.0730695,local
Çiçek Kuruyemiş,,supermarket,28.9492432,41.0177044,local
Sade Pazar,,supermarket,28.9466198,41.0160574,local
Happy center,,supermarket,28.9460792,41.0164577,unknown
Halal marketler,,supermarket,28.9467631,41.0271483,local
Akpa Süpermarket,,supermarket,28.968307,41.01579,local
Karakaş Gida,,supermarket,28.9687906,41.0171046,local
family Market,,supermarket,28.9716045,41.003915,local
Bereket Gida,,supermarket,28.9712284,41.0047826,local
Peker Market,,supermarket,28.9737165,41.0032631,local
Gökhan Gıda,,supermarket,28.9665635,41.0050045,local
Kibar Market,,supermarket,28.9674266,41.0079889,local
Taşkıran Gıda,,supermarket,28.9654999,41.0052336,local
Altı Kardeşler Büfe,,supermarket,28.9659744,41.0055402,local
Ramon Market,,supermarket,28.9657152,41.0059973,local
Tay Büfe,,supermarket,28.9650501,41.0062255,local
Üstünel Büfe,,supermarket,28.9699454,41.0116283,local
Safran Büfe,,supermarket,28.9658633,41.0069312,local
Eren Gıda,,supermarket,29.1821695,41.04196,local
kebir kahvaltıcılık,,supermarket,29.0642909,40.9888417,local
rammar,,supermarket,29.0640607,40.9892351,local
Bonveno,,supermarket,29.1341302,40.9277621,local
Nokta,,supermarket,29.1727465,41.0306415,local
Çağmar Hipermarketleri,,supermarket,29.1828332,41.0409039,local
Kaya Market,,supermarket,29.1812427,41.0407926,local
Hakmar,marketplace,supermarket,29.1910468,41.0172902,chain
Çıtır Gıda,,supermarket,29.0958487,40.9593167,local
Koska,,supermarket,28.8970148,41.0676817,local
Çağrı Market,,supermarket,29.0952065,40.9552203,local
