name,shop,leisure,longitude,latitude
Fitcity Capacity AVM,,fitness_centre,28.8709555,40.9774928
Dr. Mimar Kadir Topbaş Spor Kompleksi - Fitness Salonu,,fitness_centre,29.2355088,41.0479608
MACFit,,fitness_centre,29.1250671,41.0271188
Tevetoğlu Fitness,,fitness_centre,29.30405,40.9164234
Cure,,fitness_centre,29.004874,41.0635819
MACFit,,fitness_centre,29.2332818,40.8890252
Maximus Functional Training,,fitness_centre,29.0865288,40.9687814
b-fit,,fitness_centre,29.3068245,40.9171974
MACFit,,fitness_centre,29.2312414,40.9914294
Weekend Training Club,,fitness_centre,29.0728847,40.9725816
Weekend Training Club,,fitness_centre,29.0769522,40.9650256
Cats Pilates,,fitness_centre,29.0699468,40.965735
Fitcity Beylikdüzü Safir Residence,,fitness_centre,28.6495266,41.0160064
Fitcity Marmara Forum AVM,,fitness_centre,28.8863234,40.9979316
Fitcity Forum İstanbul AVM,,fitness_centre,28.8978079,41.0463108
Aletya Yoga & Pilates Studio,,fitness_centre,29.0125393,41.1983652
Fitness Form Center,,fitness_centre,29.0774153,40.9782879
MACFit,,fitness_centre,29.1400538,41.0025523
Athletic Club,,fitness_centre,29.1356407,40.9694555
Nefis Hayat Yoga Stüdyosu,,fitness_centre,29.30523,40.8244066
Hercules,,fitness_centre,29.1304898,40.9265521
Alisay Pilates Studio,,fitness_centre,29.1351476,40.9318102
Cihangir Yoga,,fitness_centre,29.1340055,40.9336669
No: 6:15 Studio,,fitness_centre,29.1341955,40.9339175
U Training Club,,fitness_centre,29.0742922,40.9682648
Yunus Emre Kul Fitness,,fitness_centre,29.1311122,40.9327255
