name,amenity,shop,leisure,longitude,latitude,pool_norm,exact_hit,fuzzy_match,fuzzy_score,fuzzy_hit,is_avm
Beylik 2 AVM,,mall,,28.6506323,40.9989841,beylik 2,False,beylikduzu migros,48.0,False,False
Neva AVM,,mall,,28.8724883,41.1062288,neva,False,perlavista,42.857142857142854,False,False
Nazifbey Hanı,,mall,,28.9752022,41.015242,nazifbey han,False,kadir has,47.61904761904762,False,False
Cennet Center,,mall,,29.2135156,41.009117,cennet,False,veneris,46.15384615384615,False,False
Karınca,,mall,,29.2124792,41.0092934,kar nca,False,arissa,46.15384615384615,False,False
Saraykur AVM,,mall,,28.8763841,41.0390121,saraykur,False,akvaryum,50.0,False,False
Evkur,,mall,,29.1323279,40.9239807,evkur,False,tekmerkez,42.857142857142854,False,False
Ev Shop,,mall,,29.1345014,40.9229049,ev shop,False,addres istanbul ev dekorasyon,44.44444444444444,False,False
Neonya Meydan Alışveriş Merkezi,,mall,,29.2457157,41.0145958,neonya meydan al sveris,False,kanyon al sveris,72.0,False,False
Hobilant AVM,,mall,,29.1327412,40.9259648,hobilant,False,astoria,40.0,False,False
44 AVM,,mall,,29.1324398,40.925869,44,False,olivium outlet,0.0,False,False
Eser Çarşısı,,mall,,29.0172975,41.0244551,eser cars s,False,sapphire cars,58.333333333333336,False,False
Silivri Selimpaşa Gece Pazarı,,mall,,28.3368595,41.060577,silivri selimpasa gece pazar,False,olimpa al sveris ve yasam,45.283018867924525,False,False
Mega Çarşım,,mall,,29.1326679,40.9249408,mega cars m,False,sapphire cars,53.333333333333336,False,False
Emaar Square AVM,,mall,,29.0708629,41.0030972,emaar square,False,sapphire cars,56.0,False,False
