name,amenity,longitude,latitude,health_type,name_norm
Mercan Hastanesi,hospital,29.307564035576668,40.82838932059942,hospital,mercan hastanesi
Özel Bölge Hastanesi,hospital,29.215454769916253,41.00565506751944,hospital,ozel bolge hastanesi
Medical Park Hastanesi Ataşehir,hospital,29.14436510874797,40.98781403054328,hospital,medical park hastanesi atasehir
Bayındır Hastanesi İçerenköy,hospital,29.110563849661784,40.96697572657719,hospital,bayındır hastanesi icerenkoy
Yeşilköy Prof. Dr. Murat Dilmener Acil Durum Hastanesi,hospital,28.80799612167288,40.97062704279357,hospital,yesilkoy prof. dr. murat dilmener acil durum hastanesi
Özel Esencan Hastanesi,hospital,28.6765519013108,41.033399861083616,hospital,ozel esencan hastanesi
Şile Devlet Hastanesi,hospital,29.572522932469106,41.162220743373545,hospital,sile devlet hastanesi
Başkent Üniversitesi İstanbul Sağlık Uygulama ve Araştırma Merkezi Hastanesi,hospital,29.04112516024876,41.02489007882202,hospital,baskent universitesi istanbul saglık uygulama ve arastırma merkezi hastanesi
Özel Bahçelievler Medicana Hastanesi,hospital,28.87010880445977,41.00647139342751,hospital,ozel bahcelievler medicana hastanesi
İstanbul Göz Hastanesi,hospital,28.87111130643324,41.00115739507722,hospital,istanbul goz hastanesi
Özel Bahçelievler Medicana Hastanesi,hospital,28.869880210343148,41.00673881121613,hospital,ozel bahcelievler medicana hastanesi
Aktif International Hastanesi Bahçelievler,hospital,28.86958893773685,41.00716752026427,hospital,aktif international hastanesi bahcelievler
Başakşehir Devlet Hastanesi,hospital,28.808424061747065,41.11835885042913,hospital,basaksehir devlet hastanesi
Medipol Üniversitesi Esenler Hastanesi,hospital,28.866294084220275,41.05125839876252,hospital,medipol universitesi esenler hastanesi
Medipol Üniversitesi Esenler Hastanesi,hospital,28.866211865913925,41.05139927900665,hospital,medipol universitesi esenler hastanesi
Avicenna Hastanesi,hospital,28.881009115769245,41.04083701821804,hospital,avicenna hastanesi
Esenler Kadın Doğum ve Çocuk Hastalıkları Hastanesi,hospital,28.869110963244022,41.05597782297832,hospital,esenler kadın dogum ve cocuk hastalıkları hastanesi
Kağıthane Kızılay Hastanesi,hospital,28.9708833,41.08267475,hospital,kagıthane kızılay hastanesi
S life hastanesi,hospital,28.65222173752595,41.039869289943255,hospital,s life hastanesi
Acıbadem Maslak Hastanesi,hospital,29.025258114323496,41.12738153024474,hospital,acıbadem maslak hastanesi
İstanbul Meslek Hastalıkları Hastanesi,hospital,29.138931911718547,40.94901791762138,hospital,istanbul meslek hastalıkları hastanesi
Acıbadem Ataşehir Hastanesi,hospital,29.126935687058428,40.99440484622754,hospital,acıbadem atasehir hastanesi
Erdem Hastanesi,hospital,28.82544746034968,41.04013296402276,hospital,erdem hastanesi
Bakırköy Prof. Dr. Mazhar Osman Ruh Sağlığı ve Sinir Hastalıkları Eğitim ve Araştırma Hastanesi,hospital,28.862426858726387,40.98898001639595,hospital,bakırkoy prof. dr. mazhar osman ruh saglıgı ve sinir hastalıkları egitim ve arastırma hastanesi
Özel Florya Hastanesi,hospital,28.74762332861978,40.97990550626294,hospital,ozel florya hastanesi
Avcılar Murat Kölük Devlet Hastanesi,hospital,28.73128537856684,40.98474873975096,hospital,avcılar murat koluk devlet hastanesi
Esenler Kadın Doğum Hastanesi,hospital,28.869098608828043,41.05577847415511,hospital,esenler kadın dogum hastanesi
Acıbadem Kartal Hastanesi,hospital,29.20720266783624,40.88622654781331,hospital,acıbadem kartal hastanesi
Medipol Üniversitesi Çamlıca Hastanesi,hospital,29.08206199445568,41.02331994848574,hospital,medipol universitesi camlıca hastanesi
Megapol Hastanesi,hospital,29.19947777633376,40.9161097236675,hospital,megapol hastanesi
Aksu Özel Göztepe Hastanesi,hospital,29.06200176501139,40.98777313968988,hospital,aksu ozel goztepe hastanesi
Pendik Medipol Üniversitesi Hastanesi,hospital,29.23513618195452,40.884550806544034,hospital,pendik medipol universitesi hastanesi
İbni Sina Hastanesi,hospital,29.167204271604326,40.900880881566806,hospital,ibni sina hastanesi
Koç Üniversitesi Hastanesi,hospital,28.916749998034906,41.0239970194984,hospital,koc universitesi hastanesi
